Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0019-GFNTW,Female,39,No,0,0,56,None,No,,,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0,0,0,"2,560.1",Stayed
0020-INWCK,Female,58,Yes,2,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0,0,1935.46,"8,784.86",Stayed
0020-JDNXP,Female,52,Yes,1,0,34,None,No,,,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0,0,0,"1,993.2",Stayed
0022-TCJCI,Male,79,No,0,0,45,None,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0,0,480.15,"3,271.65",Churned
0023-HGHWL,Male,67,No,0,0,1,None,No,,,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0,0,0,"2,5.1",Churned
0023-UYUPN,Female,79,Yes,0,0,50,None,Yes,31.43,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0,0,1571.5,"2,877.8",Stayed
0023-XUOPT,Female,26,Yes,0,1,13,None,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0,0,566.28,"1,781.88",Churned
0027-KWYKW,Female,30,Yes,2,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,0,802.93,"2,652.88",Stayed
0031-PVLZI,Female,34,Yes,0,0,4,Offer E,Yes,12.43,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0,0,49.72,"1,26.07",Churned
0036-IHMOT,Female,37,Yes,3,10,55,None,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0,20,1927.2,"7,603.95",Stayed
0040-HALCW,Male,42,Yes,3,3,54,None,Yes,19.7,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0,0,1063.8,"2,154.4",Stayed
0042-RLHYP,Female,47,Yes,3,5,69,None,Yes,38.39,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0,0,2648.91,"4,045.81",Stayed
0048-PIHNL,Female,48,Yes,0,5,49,Offer B,Yes,49.58,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0,0,2429.42,"3,330.32",Stayed
0052-DCKON,Male,28,Yes,0,9,66,None,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,0,0,2888.82,"1,0830.97",Stayed
0056-EPFBG,Male,33,Yes,1,4,20,None,No,,,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0,0,0,"8,25.4",Stayed
0064-SUDOG,Female,48,Yes,3,3,12,None,Yes,19.28,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0,0,231.36,"4,55.86",Stayed
0064-YIJGF,Male,60,Yes,3,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,0,682.02,"2,611.02",Stayed
0068-FIGTF,Female,20,No,0,0,27,Offer C,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0,0,1320.57,"3,399.52",Stayed
0071-NDAFP,Male,31,Yes,3,1,25,None,Yes,23.69,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,"1,178.43",Stayed
0074-HDKDG,Male,46,Yes,0,5,25,None,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611,44.9,0,161.25,"1,727.35",Stayed
0076-LVEPS,Male,57,No,1,0,29,None,No,,,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.45,12.26,0,0,"1,230.19",Stayed
0078-XZMHT,Male,19,Yes,0,5,72,None,Yes,32.36,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0,0,2329.92,"8,646.12",Stayed
0080-OROZO,Female,38,No,0,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,0,0,1274.7,"4,806.7",Stayed
0082-LDZUE,Male,54,No,0,0,1,Offer E,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0,0,42.95,"8,7.25",Stayed
0082-OQIQY,Male,50,No,0,0,29,None,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0,20,59.45,"2,687.05",Stayed
0083-PIVIK,Male,25,No,0,0,64,None,Yes,5.49,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0,40,351.36,"5,958.91",Stayed
0089-IIQKO,Female,35,Yes,3,1,39,None,Yes,24.38,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0,0,950.82,"4,718.22",Stayed
0093-EXYQL,Female,72,No,0,0,40,None,Yes,44.14,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0,0,1765.6,"5,439.2",Stayed
0093-XWZFY,Male,51,No,0,0,40,None,Yes,37.69,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0,0,1507.6,"5,544.45",Churned
0096-FCPUF,Male,58,No,0,0,30,None,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0,0,79.2,"1,967.65",Stayed
0098-BOWSO,Male,26,No,0,0,27,None,Yes,20.66,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0,0,557.82,"1,087.62",Stayed
0100-DUVFC,Male,66,Yes,0,3,70,None,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,"1,0067.14",Stayed
0103-CSITQ,Female,20,Yes,0,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0,0,456.57,"6,709.27",Stayed
0106-UGRDO,Female,55,Yes,0,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,0,0,2657.88,"1,0840.73",Stayed
0107-WESLM,Male,32,No,0,0,1,Offer E,Yes,31.77,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,31.77,"5,1.62",Churned
0107-YHINA,Male,59,No,0,0,1,None,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.71,"1,40.46",Churned
0111-KLBQG,Male,71,Yes,1,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0,0,1019.52,"3,880.97",Stayed
0112-QAWRZ,Male,49,Yes,2,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0,0,779.36,"2,221.56",Stayed
0112-QWPNC,Male,61,Yes,0,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0,0,1937.95,"5,997.3",Churned
0114-IGABW,Female,40,Yes,0,2,71,Offer A,No,,,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0,0,0,"4,145.9",Stayed
0114-PEGZZ,Female,39,No,0,0,33,None,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0,0,1639.77,"5,285.27",Stayed
0114-RSRRW,Female,21,Yes,0,9,10,Offer D,Yes,49.6,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0,0,496,"6,83.75",Stayed
0115-TFERT,Male,24,Yes,0,1,21,None,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0,120,761.46,"3,198.56",Churned
0117-LFRMW,Male,52,Yes,1,1,37,None,No,,,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,0,"1,448.8",Churned
0118-JPNOY,Female,71,No,0,0,26,None,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0,0,877.24,"3,070.89",Stayed
0121-SNYRK,Male,45,No,0,0,50,Offer B,No,,,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0,0,0,"1,748.9",Stayed
0122-OAHPZ,Female,29,No,0,0,7,None,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,"6,98.56",Churned
0123-CRBRT,Female,62,Yes,0,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0,0,2878.59,"8,405.34",Stayed
0125-LZQXK,Male,42,No,0,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,688.8,"2,242.75",Churned
0128-MKWSG,Female,51,No,2,0,26,None,No,,,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147,0,0,0,"1,147",Stayed
0129-KPTWJ,Male,39,Yes,0,9,72,None,Yes,33.22,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0,0,2391.84,"9,139.19",Stayed
0129-QMPDR,Male,64,Yes,0,1,44,None,Yes,27.4,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.5,865.05,0,0,1205.6,"2,070.65",Stayed
0130-SXOUN,Male,55,No,0,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40,3219.48,"9,200.36",Stayed
0133-BMFZO,Female,40,No,0,0,2,None,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0,0,73.62,"2,55.27",Churned
0135-NMXAP,Female,57,No,0,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,172.56,"1,224.96",Churned
0136-IFMYD,Male,71,Yes,0,1,69,None,Yes,18.41,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0,0,1270.29,"8,904.54",Stayed
0137-OCGAB,Female,25,No,0,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0,0,1.23,"8,1.43",Churned
0141-YEAYS,Female,77,No,0,0,27,None,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0,0,80.19,"2,481.24",Stayed
0142-GVYSN,Male,57,No,0,0,26,Offer C,Yes,13.34,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0,0,346.84,"8,58.09",Stayed
0147-ESWWR,Female,73,Yes,0,9,39,None,Yes,20.15,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,0,0,785.85,"4,735",Stayed
0151-ONTOV,Female,43,No,0,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0,0,39.81,"1,10.71",Churned
0156-FVPTA,Male,48,Yes,0,1,22,Offer D,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,599.28,"1,751.98",Churned
0164-APGRB,Female,56,No,0,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0,0,3482.64,"1,1979.34",Stayed
0178-CIIKR,Female,60,No,0,0,3,None,Yes,2.69,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.95,58,0,0,8.07,"6,6.07",Stayed
0178-SZBHO,Male,54,Yes,1,7,47,None,Yes,1.09,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,0,0,51.23,"4,068.68",Stayed
0181-RITDD,Male,42,Yes,3,2,62,None,Yes,1.76,No,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,0,0,109.12,"6,934.77",Stayed
0186-CAERR,Male,22,No,0,0,71,None,Yes,2.88,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,0,0,204.48,"8,514.03",Stayed
0187-WZNAB,Female,56,Yes,2,6,27,Offer C,Yes,46.66,No,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,0,0,1259.82,"3,232.17",Stayed
0188-GWFLE,Male,33,No,0,0,2,None,Yes,1.81,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.05,33.7,0,0,3.62,"3,7.32",Stayed
0191-EQUUH,Female,32,No,3,0,25,Offer C,No,,,Yes,Cable,75,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,0,0,0,"8,44.45",Stayed
0193-ESZXP,Female,73,Yes,0,1,58,None,Yes,16.94,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,0,0,982.52,"7,188.02",Churned
0195-IESCP,Male,26,Yes,0,1,10,Offer D,Yes,2.02,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0,100,20.2,"9,75.5",Churned
0196-JTUQI,Female,59,No,0,0,9,None,Yes,9.27,Yes,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,0,0,83.43,"7,17.28",Stayed
0197-PNKNK,Female,47,Yes,1,7,69,None,Yes,38.92,Yes,Yes,Fiber Optic,16,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,84.45,5848.6,0,40,2685.48,"8,574.08",Stayed
0201-MIBOL,Female,68,No,0,0,66,None,Yes,10.45,Yes,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,6471.85,0,0,689.7,"7,161.55",Stayed
0203-HHYIJ,Male,62,No,0,0,25,Offer C,Yes,5.57,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,25.3,676.35,0,0,139.25,"8,15.6",Churned
0206-TBWLC,Female,63,Yes,0,7,54,Offer B,Yes,11.4,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,114.65,6049.5,0,0,615.6,"6,665.1",Stayed
0207-MDKNV,Female,54,No,0,0,15,None,Yes,22.39,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0,0,335.85,"1,918.6",Churned
0208-BPQEJ,Female,48,Yes,1,0,12,Offer D,Yes,8.25,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.4,198.1,0,0,99,"2,97.1",Stayed
0212-ISBBF,Female,51,No,0,0,22,None,No,,,Yes,Cable,22,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.35,1098.85,0,0,0,"1,098.85",Stayed
0214-JHPFW,Female,22,Yes,0,9,70,None,No,,,Yes,Cable,85,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,57.8,4039.3,1.01,0,0,"4,038.29",Stayed
0215-BQKGS,Male,52,No,0,0,30,Offer C,Yes,24.73,No,Yes,Fiber Optic,20,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,84.3,2438.6,0,130,741.9,"3,310.5",Stayed
0218-QNVAS,Male,22,Yes,1,1,71,Offer A,Yes,28.34,Yes,Yes,Fiber Optic,59,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100.55,7113.75,16.99,0,2012.14,"9,108.9",Stayed
0219-QAERP,Male,33,Yes,0,2,30,None,Yes,9.81,No,No,,,,,,,,,,,One Year,No,Credit Card,19.8,576.65,0,0,294.3,"8,70.95",Stayed
0219-YTZUE,Male,26,Yes,0,5,4,Offer E,Yes,28.77,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,371.9,0,0,115.08,"4,86.98",Churned
0220-EBGCE,Male,58,No,0,0,2,Offer E,Yes,14.14,No,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,167.3,0,0,28.28,"1,95.58",Churned
0221-NAUXK,Male,22,No,1,0,10,None,Yes,7.86,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.95,219.5,0,0,78.6,"2,98.1",Stayed
0222-CNVPT,Male,69,No,0,0,52,Offer B,No,,,Yes,DSL,19,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,48.8,2555.05,0,0,0,"2,555.05",Stayed
0224-HJAPT,Male,25,No,0,0,5,None,Yes,22.01,Yes,Yes,Cable,85,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,223.15,0,0,110.05,"3,33.2",Churned
0224-NIJLP,Male,30,Yes,3,1,8,Offer E,Yes,2.87,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.15,165.5,0,0,22.96,"1,88.46",Stayed
0224-RLWWD,Female,73,No,0,0,2,Offer E,Yes,23.91,No,Yes,Cable,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,44.3,89.3,0,0,47.82,"1,37.12",Stayed
0228-MAUWC,Male,40,No,0,0,19,Offer D,Yes,11.85,Yes,Yes,DSL,18,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,59.55,1144.6,0,0,225.15,"1,369.75",Stayed
0233-FTHAV,Female,24,No,0,0,60,None,Yes,15.29,Yes,Yes,Fiber Optic,48,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,79.2,4765,0,0,917.4,"5,682.4",Stayed
0234-TEVTT,Female,43,Yes,3,3,48,None,No,,,Yes,DSL,22,Yes,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,45,2196.3,0,0,0,"2,196.3",Stayed
0237-YFUTL,Female,62,Yes,0,4,50,Offer B,Yes,34.57,Yes,Yes,Fiber Optic,13,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,109.65,5405.8,0,0,1728.5,"7,134.3",Stayed
0238-WHBIQ,Male,25,Yes,1,10,72,Offer A,Yes,33.75,Yes,Yes,Cable,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,89.7,6339.3,0,0,2430,"8,769.3",Stayed
0244-LGNFY,Female,35,Yes,1,4,72,None,Yes,30,Yes,Yes,DSL,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,92.65,6733,0,0,2160,"8,893",Stayed
0247-SLUJI,Male,37,Yes,3,2,1,None,Yes,34.28,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.7,19.7,0,0,34.28,"5,3.98",Stayed
0253-ZTEOB,Female,44,Yes,1,5,48,None,Yes,8.94,Yes,Yes,DSL,27,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,79.65,3870.3,0,0,429.12,"4,299.42",Stayed
0254-FNMCI,Female,19,No,0,0,72,None,Yes,41.91,No,Yes,Fiber Optic,73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.9,7624.2,0,0,3017.52,"1,0641.72",Stayed
0254-WWRKD,Female,44,Yes,3,1,67,Offer A,Yes,46.9,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,50.55,3431.75,0,0,3142.3,"6,574.05",Stayed
0257-ZESQC,Female,80,Yes,0,2,27,None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0,0,189.54,"2,118.89",Churned
0259-GBZSH,Male,22,No,0,0,2,Offer E,Yes,40.43,Yes,Yes,Cable,27,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0,0,80.86,"2,62.36",Churned
0260-ZDLGK,Female,50,No,2,0,9,None,Yes,35.49,No,Yes,Cable,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,72.9,651.4,0,0,319.41,"9,70.81",Churned
0264-CNITK,Female,45,Yes,2,1,71,None,Yes,31.03,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.1,1389.6,0,0,2203.13,"3,592.73",Stayed
0265-EDXBD,Male,76,Yes,0,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0,0,1514.88,"3,818.23",Churned
